,chrom,start,end,expHops,bgHops,norm_bgHops,pValue,negLog10pValue,rejected,corrected_pValue,negLog10corrected,,Nearby gene,
29245,chr9,93053491,93248454,122,59,44.73976392,1.43E-21,20.84489511,TRUE,1.91E-18,17.71843815,,,
18362,chr3,64316756,64321750,70,22,17.30974248,1.60E-21,20.79483946,TRUE,2.06E-18,17.68688086,,,
24514,chr6,116073634,116074173,40,6,5.448111586,1.71E-21,20.76620806,TRUE,2.11E-18,17.67597823,,,
1265,chr1,148424363,148426640,21,0,1,7.54E-21,20.12247748,TRUE,8.29E-18,17.08146567,,,
4536,chr11,69891959,69894906,21,0,1,7.54E-21,20.12247748,TRUE,8.29E-18,17.08146567,,,
26517,chr7,116809902,116810715,21,0,1,7.54E-21,20.12247748,TRUE,8.29E-18,17.08146567,,,
2240,chr1,220364156,220364300,25,1,1.741351931,1.27E-20,19.89471667,TRUE,1.23E-17,16.91169681,,,
8916,chr15,35710263,35725443,25,1,1.741351931,1.27E-20,19.89471667,TRUE,1.23E-17,16.91169681,,,
15464,chr2,216539506,216539897,25,1,1.741351931,1.27E-20,19.89471667,TRUE,1.23E-17,16.91169681,,,
21858,chr5,39405396,39411513,25,1,1.741351931,1.27E-20,19.89471667,TRUE,1.23E-17,16.91169681,,,
19009,chr3,140247529,140247971,34,4,3.965407724,1.59E-20,19.79850455,TRUE,1.48E-17,16.82884865,,,
22869,chr5,149483663,149497391,43,8,6.930815447,2.73E-20,19.56332697,TRUE,2.47E-17,16.60663605,,,
22983,chr5,171629606,171653426,31,3,3.224055793,3.10E-20,19.50877493,TRUE,2.72E-17,16.56467314,,,
23211,chr6,835983,838391,28,2,2.482703862,3.42E-20,19.46572421,TRUE,2.85E-17,16.54575609,,,
25554,chr7,2799829,2861112,77,28,21.75785407,3.36E-20,19.47356646,TRUE,2.85E-17,16.54575609,,,
8374,chr14,70639814,70662536,38,6,5.448111586,9.07E-20,19.04219128,TRUE,7.35E-17,16.13380504,,,
7011,chr13,36060592,36133008,105,49,37.32624462,1.01E-19,18.99571896,TRUE,7.97E-17,16.09861373,,,
2338,chr1,231981603,231988386,33,4,3.965407724,1.37E-19,18.86369716,TRUE,1.05E-16,15.97758732,,,
2196,chr1,217363122,217363326,20,0,1,1.59E-19,18.79927872,TRUE,1.06E-16,15.97386671,,,
7006,chr13,35714106,35716613,48,11,9.15487124,1.51E-19,18.82113986,TRUE,1.06E-16,15.97386671,,,
7057,chr13,40181784,40182167,20,0,1,1.59E-19,18.79927872,TRUE,1.06E-16,15.97386671,,,
8163,chr14,61462998,61463164,20,0,1,1.59E-19,18.79927872,TRUE,1.06E-16,15.97386671,,,
8380,chr14,70830331,70833109,20,0,1,1.59E-19,18.79927872,TRUE,1.06E-16,15.97386671,,,
24024,chr6,64063106,64064689,20,0,1,1.59E-19,18.79927872,TRUE,1.06E-16,15.97386671,,,
4058,chr11,13321814,13338438,24,1,1.741351931,1.83E-19,18.73642498,TRUE,1.13E-16,15.94722515,,,
16360,chr20,48295594,48295712,24,1,1.741351931,1.83E-19,18.73642498,TRUE,1.13E-16,15.94722515,,,
18472,chr3,72515749,72517574,24,1,1.741351931,1.83E-19,18.73642498,TRUE,1.13E-16,15.94722515,,,
19829,chr3_KI270934v1_alt,74876,78171,24,1,1.741351931,1.83E-19,18.73642498,TRUE,1.13E-16,15.94722515,,,
1238,chr1,147538656,147539251,30,3,3.224055793,2.99E-19,18.52426055,TRUE,1.80E-16,15.74366089,,,
4048,chr11,12266261,12534637,110,54,41.03300427,4.19E-19,18.37752812,TRUE,2.48E-16,15.60536163,,,
16415,chr20,49961749,49974047,37,6,5.448111586,6.36E-19,18.19681882,TRUE,3.69E-16,15.43292486,,,
1430,chr1,151583333,151601471,41,8,6.930815447,1.04E-18,17.98434927,TRUE,5.77E-16,15.23887647,,,
2108,chr1,207241282,207242260,43,9,7.672167378,1.05E-18,17.97885828,TRUE,5.77E-16,15.23887647,,,
20450,chr4,81566696,81592669,43,9,7.672167378,1.05E-18,17.97885828,TRUE,5.77E-16,15.23887647,,,
24944,chr6,149889307,149903954,32,4,3.965407724,1.14E-18,17.94175142,TRUE,6.17E-16,15.20945644,,,
2008,chr1,201159846,201190607,65,22,17.30974248,1.54E-18,17.81366375,TRUE,7.88E-16,15.10364516,,,
2893,chr10,29811800,29909355,65,22,17.30974248,1.54E-18,17.81366375,TRUE,7.88E-16,15.10364516,,,
27621,chr8,88424966,88426647,52,14,11.37892703,1.49E-18,17.82681043,TRUE,7.88E-16,15.10364516,,,
5015,chr11,129966519,129966560,23,1,1.741351931,2.54E-18,17.59575582,TRUE,1.26E-15,14.89997767,,,
9607,chr15,92869724,92871671,23,1,1.741351931,2.54E-18,17.59575582,TRUE,1.26E-15,14.89997767,,,
993,chr1,119968016,119969107,19,0,1,3.18E-18,17.49716944,TRUE,1.32E-15,14.87823132,,,
3276,chr10,71241698,71246874,19,0,1,3.18E-18,17.49716944,TRUE,1.32E-15,14.87823132,,,
5008,chr11,129630173,129650291,29,3,3.224055793,2.79E-18,17.553878,TRUE,1.32E-15,14.87823132,,,
5357,chr12,29932806,29932836,19,0,1,3.18E-18,17.49716944,TRUE,1.32E-15,14.87823132,,,
5826,chr12,63862573,63863756,19,0,1,3.18E-18,17.49716944,TRUE,1.32E-15,14.87823132,,,
8430,chr14,74308958,74309361,19,0,1,3.18E-18,17.49716944,TRUE,1.32E-15,14.87823132,,,
9059,chr15,51219661,51228810,29,3,3.224055793,2.79E-18,17.553878,TRUE,1.32E-15,14.87823132,,,
9418,chr15,81661770,81662578,19,0,1,3.18E-18,17.49716944,TRUE,1.32E-15,14.87823132,,,
18939,chr3,130971470,130971517,19,0,1,3.18E-18,17.49716944,TRUE,1.32E-15,14.87823132,,,
21674,chr5,21126330,21127018,19,0,1,3.18E-18,17.49716944,TRUE,1.32E-15,14.87823132,,,
21724,chr5,27241826,27242036,19,0,1,3.18E-18,17.49716944,TRUE,1.32E-15,14.87823132,,,
29402,chr9,106439079,106443766,19,0,1,3.18E-18,17.49716944,TRUE,1.32E-15,14.87823132,,,
19847,chr3_KI270936v1_alt,74353,78169,26,2,2.482703862,4.23E-18,17.37406125,TRUE,1.73E-15,14.76095268,,,
22864,chr5,149000009,149026029,38,7,6.189463516,5.64E-18,17.24908345,TRUE,2.28E-15,14.64172721,,,
2261,chr1,223639431,223721126,84,36,27.68866951,6.00E-18,17.22201279,TRUE,2.40E-15,14.62033368,,,
17342,chr21,45230412,45261026,40,8,6.930815447,6.16E-18,17.21028359,TRUE,2.40E-15,14.61974085,,,
30134,chrX,40519348,40544330,40,8,6.930815447,6.16E-18,17.21028359,TRUE,2.40E-15,14.61974085,,,
17410,chr22,19060475,19682410,163,102,76.61789695,6.93E-18,17.15942716,TRUE,2.66E-15,14.57434731,,,
27138,chr8,26317298,26323560,31,4,3.965407724,9.27E-18,17.03305611,TRUE,3.52E-15,14.45337129,,,
4857,chr11,102284937,102314619,49,13,10.6375751,1.03E-17,16.98537496,TRUE,3.88E-15,14.41101897,,,
25124,chr6,169932200,170265263,110,57,43.25706006,1.56E-17,16.8080249,TRUE,5.77E-15,14.23893315,,,
29141,chr9,85871473,85890119,33,5,4.706759655,1.91E-17,16.71858146,TRUE,7.00E-15,14.15469091,,,
15272,chr2,200786334,200786927,69,26,20.2751502,1.95E-17,16.71063614,TRUE,7.05E-15,14.15188523,,,
18375,chr3,64491410,64491698,45,11,9.15487124,2.07E-17,16.6835507,TRUE,7.42E-15,14.12987931,,,
10889,chr17,13181827,13183530,43,10,8.413519309,2.70E-17,16.56941034,TRUE,9.53E-15,14.02075976,,,
5849,chr12,64549465,64569684,58,19,15.08568669,3.64E-17,16.43861315,TRUE,1.25E-14,13.90468582,,,
25932,chr7,51180135,51265178,58,19,15.08568669,3.64E-17,16.43861315,TRUE,1.25E-14,13.90468582,,,
28623,chr9,4866287,4866507,39,8,6.930815447,3.57E-17,16.44682959,TRUE,1.25E-14,13.90468582,,,
16156,chr20,42190898,42190960,25,2,2.482703862,4.44E-17,16.35233777,TRUE,1.41E-14,13.85093967,,,
18128,chr3,41116964,41131275,25,2,2.482703862,4.44E-17,16.35233777,TRUE,1.41E-14,13.85093967,,,
19058,chr3,146139308,146141045,25,2,2.482703862,4.44E-17,16.35233777,TRUE,1.41E-14,13.85093967,,,
19812,chr3_KI270895v1_alt,74878,78173,25,2,2.482703862,4.44E-17,16.35233777,TRUE,1.41E-14,13.85093967,,,
24355,chr6,102794207,102795550,25,2,2.482703862,4.44E-17,16.35233777,TRUE,1.41E-14,13.85093967,,,
30095,chrX,30281918,30284098,25,2,2.482703862,4.44E-17,16.35233777,TRUE,1.41E-14,13.85093967,,,
30455,chrX,104972876,104973026,25,2,2.482703862,4.44E-17,16.35233777,TRUE,1.41E-14,13.85093967,,,
26037,chr7,74143395,74176496,48,13,10.6375751,4.79E-17,16.31966377,TRUE,1.50E-14,13.82272001,,,
4293,chr11,46298923,46299237,18,0,1,6.06E-17,16.21722071,TRUE,1.68E-14,13.77437385,,,
7206,chr13,50148724,50149469,18,0,1,6.06E-17,16.21722071,TRUE,1.68E-14,13.77437385,,,
10514,chr16,79037678,79038323,18,0,1,6.06E-17,16.21722071,TRUE,1.68E-14,13.77437385,,,
10784,chr16_KI270855v1_alt,3899,53039,18,0,1,6.06E-17,16.21722071,TRUE,1.68E-14,13.77437385,,,
14996,chr2,176674825,176675973,18,0,1,6.06E-17,16.21722071,TRUE,1.68E-14,13.77437385,,,
15946,chr20,19884817,19885354,18,0,1,6.06E-17,16.21722071,TRUE,1.68E-14,13.77437385,,,
17486,chr22,30054724,30055043,18,0,1,6.06E-17,16.21722071,TRUE,1.68E-14,13.77437385,,,
21640,chr5,19519527,19519531,18,0,1,6.06E-17,16.21722071,TRUE,1.68E-14,13.77437385,,,
23727,chr6,35601679,35602021,18,0,1,6.06E-17,16.21722071,TRUE,1.68E-14,13.77437385,,,
23796,chr6,41021723,41021849,18,0,1,6.06E-17,16.21722071,TRUE,1.68E-14,13.77437385,,,
24748,chr6,136774676,136775189,18,0,1,6.06E-17,16.21722071,TRUE,1.68E-14,13.77437385,,,
27507,chr8,78069565,78069860,18,0,1,6.06E-17,16.21722071,TRUE,1.68E-14,13.77437385,,,
29998,chrX,13101516,13102629,18,0,1,6.06E-17,16.21722071,TRUE,1.68E-14,13.77437385,,,
12851,chr19,18377078,18380194,46,12,9.896223171,7.16E-17,16.14479693,TRUE,1.93E-14,13.71353194,,,
17481,chr22,29366188,29701946,125,71,53.6359871,7.12E-17,16.14752499,TRUE,1.93E-14,13.71353194,,,
24956,chr6,151021952,151068320,46,12,9.896223171,7.16E-17,16.14479693,TRUE,1.93E-14,13.71353194,,,
22694,chr5,130480082,130550163,83,37,28.43002144,7.92E-17,16.10145799,TRUE,2.12E-14,13.673986,,,
27830,chr8,97074152,97090752,54,17,13.60298283,1.17E-16,15.93219583,TRUE,3.10E-14,13.50848398,,,
27284,chr8,47492930,47542126,66,25,19.53379827,1.32E-16,15.87873334,TRUE,3.48E-14,13.45874936,,,
15098,chr2,186543933,186545124,42,10,8.413519309,1.38E-16,15.85856804,TRUE,3.58E-14,13.44594516,,,
22504,chr5,107557252,107578172,42,10,8.413519309,1.38E-16,15.85856804,TRUE,3.58E-14,13.44594516,,,
6351,chr12,101589567,101620099,70,28,21.75785407,1.83E-16,15.73681851,TRUE,4.70E-14,13.32782992,,,
14388,chr2,118059855,118085786,34,6,5.448111586,1.86E-16,15.73080403,TRUE,4.73E-14,13.32541956,,,
9927,chr16,8783014,8798450,36,7,6.189463516,2.09E-16,15.6800252,TRUE,5.27E-14,13.27821519,,,
3305,chr10,73893490,73894514,27,3,3.224055793,2.20E-16,15.65742477,TRUE,5.37E-14,13.26962548,,,
9923,chr16,8678886,8679491,27,3,3.224055793,2.20E-16,15.65742477,TRUE,5.37E-14,13.26962548,,,
15162,chr2,190785630,190787096,27,3,3.224055793,2.20E-16,15.65742477,TRUE,5.37E-14,13.26962548,,,
19141,chr3,151790390,151793810,47,13,10.6375751,2.17E-16,15.66279751,TRUE,5.37E-14,13.26962548,,,
16375,chr20,48615737,48696242,96,48,36.58489268,2.49E-16,15.60396333,TRUE,6.03E-14,13.21959722,,,
16111,chr20,38110791,38191512,58,20,15.82703862,2.85E-16,15.54489195,TRUE,6.86E-14,13.16393208,,,
15802,chr20,4867468,5159201,116,65,49.18787551,3.96E-16,15.40207838,TRUE,9.45E-14,13.02449825,,,
12588,chr18,59844471,59850783,21,1,1.741351931,4.26E-16,15.37031109,TRUE,1.01E-13,12.99608461,,,
786,chr1,111886744,111887753,24,2,2.482703862,4.49E-16,15.34750803,TRUE,1.03E-13,12.98644299,,,
6080,chr12,80684140,80695589,24,2,2.482703862,4.49E-16,15.34750803,TRUE,1.03E-13,12.98644299,,,
11241,chr17,51240018,51244195,24,2,2.482703862,4.49E-16,15.34750803,TRUE,1.03E-13,12.98644299,,,
30061,chrX,21932664,21933146,24,2,2.482703862,4.49E-16,15.34750803,TRUE,1.03E-13,12.98644299,,,
4696,chr11,80718729,80720586,53,17,13.60298283,4.67E-16,15.33084074,TRUE,1.06E-13,12.97300468,,,
11009,chr17,27822901,27845608,43,11,9.15487124,4.95E-16,15.30534901,TRUE,1.12E-13,12.95071808,,,
442,chr1,64437293,64461296,29,4,3.965407724,5.53E-16,15.2570939,TRUE,1.21E-13,12.91814318,,,
1246,chr1,147676914,147676990,29,4,3.965407724,5.53E-16,15.2570939,TRUE,1.21E-13,12.91814318,,,
8434,chr14,74650306,74678740,29,4,3.965407724,5.53E-16,15.2570939,TRUE,1.21E-13,12.91814318,,,
10616,chr16,85861090,85897652,59,21,16.56839055,5.49E-16,15.26070587,TRUE,1.21E-13,12.91814318,,,
22101,chr5,61304836,61305318,29,4,3.965407724,5.53E-16,15.2570939,TRUE,1.21E-13,12.91814318,,,
29128,chr9,84315511,84333085,48,14,11.37892703,5.90E-16,15.22885932,TRUE,1.28E-13,12.89297783,,,
803,chr1,113025109,113027043,17,0,1,1.09E-15,14.96061756,TRUE,2.16E-13,12.66557232,,,
1298,chr1,148890908,148891356,17,0,1,1.09E-15,14.96061756,TRUE,2.16E-13,12.66557232,,,
5125,chr12,8451567,8462120,17,0,1,1.09E-15,14.96061756,TRUE,2.16E-13,12.66557232,,,
6923,chr13,31195698,31198070,17,0,1,1.09E-15,14.96061756,TRUE,2.16E-13,12.66557232,,,
7713,chr14,28677630,28677684,17,0,1,1.09E-15,14.96061756,TRUE,2.16E-13,12.66557232,,,
8174,chr14,61553844,61553957,17,0,1,1.09E-15,14.96061756,TRUE,2.16E-13,12.66557232,,,
10053,chr16,16761280,16761352,17,0,1,1.09E-15,14.96061756,TRUE,2.16E-13,12.66557232,,,
10075,chr16,18597526,18597952,17,0,1,1.09E-15,14.96061756,TRUE,2.16E-13,12.66557232,,,
11332,chr17,58639766,58639937,17,0,1,1.09E-15,14.96061756,TRUE,2.16E-13,12.66557232,,,
14001,chr2,64975301,64977640,17,0,1,1.09E-15,14.96061756,TRUE,2.16E-13,12.66557232,,,
16965,chr21,15586948,15587011,17,0,1,1.09E-15,14.96061756,TRUE,2.16E-13,12.66557232,,,
24456,chr6,110952352,110953292,17,0,1,1.09E-15,14.96061756,TRUE,2.16E-13,12.66557232,,,
27071,chr8,13271553,13275317,17,0,1,1.09E-15,14.96061756,TRUE,2.16E-13,12.66557232,,,
29628,chr9,123327910,123328042,17,0,1,1.09E-15,14.96061756,TRUE,2.16E-13,12.66557232,,,
9116,chr15,55358007,55358615,37,8,6.930815447,1.11E-15,14.95281829,TRUE,2.19E-13,12.66054811,,,
23485,chr6,20210304,20211339,33,6,5.448111586,1.17E-15,14.93325008,TRUE,2.27E-13,12.64373733,,,
9877,chr16,2846385,2847039,35,7,6.189463516,1.22E-15,14.91298853,TRUE,2.35E-13,12.62893868,,,
15359,chr2,207632604,207633472,35,7,6.189463516,1.22E-15,14.91298853,TRUE,2.35E-13,12.62893868,,,
4177,chr11,32821989,32840899,49,15,12.12027896,1.46E-15,14.83604103,TRUE,2.79E-13,12.55469706,,,
17172,chr21,37434663,37465489,52,17,13.60298283,1.83E-15,14.73749143,TRUE,3.48E-13,12.45883661,,,
16387,chr20,48864611,48865387,50,16,12.86163089,3.32E-15,14.47872205,TRUE,6.27E-13,12.20273982,,,
3210,chr10,63707612,63712145,40,10,8.413519309,3.41E-15,14.46740679,TRUE,6.36E-13,12.1967209,,,
7023,chr13,36869250,36890413,40,10,8.413519309,3.41E-15,14.46740679,TRUE,6.36E-13,12.1967209,,,
2892,chr10,29804494,29808989,28,4,3.965407724,4.07E-15,14.39073364,TRUE,7.36E-13,12.13301272,,,
4442,chr11,65371198,65388503,28,4,3.965407724,4.07E-15,14.39073364,TRUE,7.36E-13,12.13301272,,,
14259,chr2,100291185,100292404,28,4,3.965407724,4.07E-15,14.39073364,TRUE,7.36E-13,12.13301272,,,
15988,chr20,24128298,24134705,28,4,3.965407724,4.07E-15,14.39073364,TRUE,7.36E-13,12.13301272,,,
17346,chr21,45601207,45621566,28,4,3.965407724,4.07E-15,14.39073364,TRUE,7.36E-13,12.13301272,,,
4397,chr11,62048284,62051408,23,2,2.482703862,4.36E-15,14.36024932,TRUE,7.42E-13,12.12975806,,,
5585,chr12,50532296,50533331,23,2,2.482703862,4.36E-15,14.36024932,TRUE,7.42E-13,12.12975806,,,
8410,chr14,73228563,73229018,23,2,2.482703862,4.36E-15,14.36024932,TRUE,7.42E-13,12.12975806,,,
9168,chr15,59562939,59616698,45,13,10.6375751,4.20E-15,14.37632991,TRUE,7.42E-13,12.12975806,,,
10467,chr16,75061787,75062455,23,2,2.482703862,4.36E-15,14.36024932,TRUE,7.42E-13,12.12975806,,,
12759,chr19,10260486,10270809,23,2,2.482703862,4.36E-15,14.36024932,TRUE,7.42E-13,12.12975806,,,
15163,chr2,190787155,190792240,23,2,2.482703862,4.36E-15,14.36024932,TRUE,7.42E-13,12.12975806,,,
16184,chr20,44553604,44594824,45,13,10.6375751,4.20E-15,14.37632991,TRUE,7.42E-13,12.12975806,,,
16939,chr21,14940849,14945535,23,2,2.482703862,4.36E-15,14.36024932,TRUE,7.42E-13,12.12975806,,,
19643,chr3,189943840,189944431,23,2,2.482703862,4.36E-15,14.36024932,TRUE,7.42E-13,12.12975806,,,
22273,chr5,78596060,78620186,45,13,10.6375751,4.20E-15,14.37632991,TRUE,7.42E-13,12.12975806,,,
7486,chr13,104445188,104489194,38,9,7.672167378,4.69E-15,14.32911358,TRUE,7.88E-13,12.10339483,,,
9627,chr15,95246107,95247470,38,9,7.672167378,4.69E-15,14.32911358,TRUE,7.88E-13,12.10339483,,,
2280,chr1,224492371,224493453,20,1,1.741351931,5.16E-15,14.2872184,TRUE,8.45E-13,12.07320641,,,
6262,chr12,95172501,95173536,20,1,1.741351931,5.16E-15,14.2872184,TRUE,8.45E-13,12.07320641,,,
22899,chr5,154597104,154612053,20,1,1.741351931,5.16E-15,14.2872184,TRUE,8.45E-13,12.07320641,,,
24876,chr6,144341224,144341945,20,1,1.741351931,5.16E-15,14.2872184,TRUE,8.45E-13,12.07320641,,,
26455,chr7,112084754,112088028,20,1,1.741351931,5.16E-15,14.2872184,TRUE,8.45E-13,12.07320641,,,
12746,chr19,7214423,7296297,36,8,6.930815447,5.99E-15,14.22282541,TRUE,9.70E-13,12.01340918,,,
18034,chr3,27749707,27768233,36,8,6.930815447,5.99E-15,14.22282541,TRUE,9.70E-13,12.01340918,,,
9870,chr16,2329959,2399517,60,23,18.05109441,6.05E-15,14.21827347,TRUE,9.75E-13,12.011137,,,
17520,chr22,32700739,32758396,30,5,4.706759655,6.09E-15,14.21502639,TRUE,9.77E-13,12.01015778,,,
26498,chr7,116339042,116340096,34,7,6.189463516,6.95E-15,14.15803824,TRUE,1.10E-12,11.95767013,,,
28186,chr8,119413886,119445926,34,7,6.189463516,6.95E-15,14.15803824,TRUE,1.10E-12,11.95767013,,,
8044,chr14,52324637,52329775,32,6,5.448111586,7.10E-15,14.14850945,TRUE,1.12E-12,11.95259569,,,
30595,chrX,134239106,134254640,32,6,5.448111586,7.10E-15,14.14850945,TRUE,1.12E-12,11.95259569,,,
25921,chr7,47670403,47816262,91,47,35.84354075,9.25E-15,14.03368337,TRUE,1.45E-12,11.83997976,,,
10135,chr16,23168716,23423693,97,52,39.55030041,9.69E-15,14.01358251,TRUE,1.51E-12,11.82207787,,,
15996,chr20,25056384,25080448,41,11,9.15487124,1.08E-14,13.96658122,TRUE,1.66E-12,11.77944138,,,
27366,chr8,58077974,58079784,41,11,9.15487124,1.08E-14,13.96658122,TRUE,1.66E-12,11.77944138,,,
9440,chr15,83283180,83311209,58,22,17.30974248,1.21E-14,13.91823196,TRUE,1.85E-12,11.73325818,,,
11529,chr17,61198979,61201703,49,16,12.86163089,1.30E-14,13.8861769,TRUE,1.98E-12,11.70335843,,,
19179,chr3,154216189,154227181,55,20,15.82703862,1.36E-14,13.86718539,TRUE,2.06E-12,11.68651159,,,
8168,chr14,61514206,61516362,52,18,14.34433476,1.40E-14,13.85294228,TRUE,2.11E-12,11.6765263,,,
24150,chr6,81787344,81788305,52,18,14.34433476,1.40E-14,13.85294228,TRUE,2.11E-12,11.6765263,,,
9054,chr15,51045200,51128057,132,83,62.53221027,1.42E-14,13.84682706,TRUE,2.13E-12,11.67252445,,,
4113,chr11,20041607,20361711,114,67,50.67057937,1.52E-14,13.8191731,TRUE,2.25E-12,11.64697361,,,
960,chr1,117377633,117377798,16,0,1,1.87E-14,13.72867812,TRUE,2.40E-12,11.61890619,,,
1224,chr1,146907526,146907582,16,0,1,1.87E-14,13.72867812,TRUE,2.40E-12,11.61890619,,,
4172,chr11,31059663,31061154,16,0,1,1.87E-14,13.72867812,TRUE,2.40E-12,11.61890619,,,
4224,chr11,37059738,37061777,16,0,1,1.87E-14,13.72867812,TRUE,2.40E-12,11.61890619,,,
4709,chr11,83004065,83004370,16,0,1,1.87E-14,13.72867812,TRUE,2.40E-12,11.61890619,,,
5132,chr12,9132156,9132260,16,0,1,1.87E-14,13.72867812,TRUE,2.40E-12,11.61890619,,,
6499,chr12,115830797,115830801,16,0,1,1.87E-14,13.72867812,TRUE,2.40E-12,11.61890619,,,
8134,chr14,59359773,59360983,16,0,1,1.87E-14,13.72867812,TRUE,2.40E-12,11.61890619,,,
9218,chr15,64072847,64072884,16,0,1,1.87E-14,13.72867812,TRUE,2.40E-12,11.61890619,,,
10910,chr17,15273400,15273404,16,0,1,1.87E-14,13.72867812,TRUE,2.40E-12,11.61890619,,,
10998,chr17,27207243,27207474,16,0,1,1.87E-14,13.72867812,TRUE,2.40E-12,11.61890619,,,
14357,chr2,111705898,111705917,16,0,1,1.87E-14,13.72867812,TRUE,2.40E-12,11.61890619,,,
14994,chr2,176580308,176582903,16,0,1,1.87E-14,13.72867812,TRUE,2.40E-12,11.61890619,,,
15557,chr2,223696903,223696945,16,0,1,1.87E-14,13.72867812,TRUE,2.40E-12,11.61890619,,,
18400,chr3,66473774,66473877,16,0,1,1.87E-14,13.72867812,TRUE,2.40E-12,11.61890619,,,
19379,chr3,169758749,169758898,16,0,1,1.87E-14,13.72867812,TRUE,2.40E-12,11.61890619,,,
19790,chr3_KI270779v1_alt,175624,180669,16,0,1,1.87E-14,13.72867812,TRUE,2.40E-12,11.61890619,,,
20028,chr4,26568674,26573681,16,0,1,1.87E-14,13.72867812,TRUE,2.40E-12,11.61890619,,,
20646,chr4,99561350,99561388,16,0,1,1.87E-14,13.72867812,TRUE,2.40E-12,11.61890619,,,
22939,chr5,164517427,164518875,16,0,1,1.87E-14,13.72867812,TRUE,2.40E-12,11.61890619,,,
23529,chr6,22888208,22888572,16,0,1,1.87E-14,13.72867812,TRUE,2.40E-12,11.61890619,,,
24767,chr6,138188837,138188841,16,0,1,1.87E-14,13.72867812,TRUE,2.40E-12,11.61890619,,,
25709,chr7,22088690,22089437,16,0,1,1.87E-14,13.72867812,TRUE,2.40E-12,11.61890619,,,
26707,chr7,135520840,135520857,16,0,1,1.87E-14,13.72867812,TRUE,2.40E-12,11.61890619,,,
26758,chr7,139671484,139672828,16,0,1,1.87E-14,13.72867812,TRUE,2.40E-12,11.61890619,,,
27439,chr8,66714630,66714774,16,0,1,1.87E-14,13.72867812,TRUE,2.40E-12,11.61890619,,,
27444,chr8,67381310,67381484,16,0,1,1.87E-14,13.72867812,TRUE,2.40E-12,11.61890619,,,
28047,chr8,106601886,106602621,16,0,1,1.87E-14,13.72867812,TRUE,2.40E-12,11.61890619,,,
